V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,uid,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q8,Q9,Q10,Q11,Q57_4,Q59,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q14,Q17_1,Q17_2,Q17_3,Q17_4,Q18,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q77,Q78_1,Q78_2,Q78_3,Q78_4,Q79,Q80_1,Q80_2,Q80_3,Q80_4,Q81,Q82_1,Q82_2,Q82_3,Q82_4,Q83,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q21,Q24_1,Q24_2,Q24_3,Q24_4,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q27,Q28_1,Q28_2,Q28_3,Q28_4,Q29,Q33,Q34_4,Q35_4,Q36_4,Q37_4,Q30,Q31_4,Q32_4,Q38,Q39_4,Q40_4,Q41_1,Q41_2,Q41_3,Q41_4,Q42,Q43,Q44,Q72,Q73,Q68_1,Q68_2,Q68_3,Q68_4,Q68_5,Q68_6,Q68_7,Q68_8,Q68_9,Q68_10,Q45_1,Q45_2,Q45_3,Q45_4,Q46,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q47_7,Q47_8,Q47_9,Q48,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q49_6,Q49_7,Q49_8,Q49_9,Q50,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_6,Q51_7,Q52_1,Q52_2,Q52_3,Q52_4,Q76,Q53_1,Q54,Q55,Q56,Q58,Q62,Q63,Q60,Q84_1,Q84_2,Q84_3,Q84_4,Q85,Q61_1,Q70_1,DO-BR-FL_4,DO-BL-Publicsectorattitudes,DO-BL-Specificfacilities(OUTCOME),LocationLatitude,LocationLongitude,LocationAccuracy
R_BP9ERw3HcRrpstj,Default Response Set,Anonymous,,,79.180.164.186,0,14/12/2015 14:19,14/12/2015 14:23,1,5329891,1,9.193,18.884,20.759,6,1,3,2,5,1.377,20.595,21.599,6,1,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.784,4.784,6.178,1,1,3.335,3.335,4.652,1,3,1.6,1.6,2.364,1,1,7.627,39.408,40.4,11,1,,4,7,5,3,1,4,5,1,8,8,7.132,54.899,56.578,12,3,5,1,1,1,1,,,,,,,,,,4.259,22.142,23.215,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,3.994,35.148,35.715,8,1,24,5,1,2,כפר סבא,1,2,,8.542,17.503,18.095,3,1,8,2,Figures (TREATMENT),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q35|Q34|Q37|Q36|Q30|Q31|Q32|Q38|Q39|Q40,31.5,34.75,-1
R_9FexJo3vaPvEHdL,Default Response Set,Anonymous,,,84.228.186.95,0,14/12/2015 14:21,14/12/2015 14:24,1,5330303,1,3.061,8.267,9.227,3,1,3,4,6,4.351,17.468,18.457,5,1,2,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.373,4.373,5.59,1,2,3.907,7.932,8.885,2,5,2.171,2.171,3.607,1,1,3.614,22.117,23.026,10,1,,2,2,2,3,1,8,7,1,5,5,3.175,19.447,20.182,6,3,4,3,1,1,,,1,,,,,,,,2.287,18.212,19.267,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,2.887,23.769,43.07,9,1,38,8,4,2,הוד השרון,1,1,הכרות מול מוסדות התשתיות בארץ ומידת שביעות הרצון שלי מהם,4.166,7.93,8.77,4,1,9,4,Figures (TREATMENT),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q37|Q34|Q35|Q36|Q30|Q31|Q32|Q38|Q39|Q40,31.77999878,35.22999573,-1
R_2fZ6RmRP5ccp4t3,Default Response Set,Anonymous,,,209.88.198.1,0,14/12/2015 14:18,14/12/2015 14:24,1,5330330,1,14.646,29.87,34.776,3,1,4,4,4,6.843,52.034,53.566,9,1,1,1,1,0,5,,,,,,,,,,,,,,,,,1,8.517,8.517,10.432,1,2,8.668,8.668,10.188,1,5,8.826,8.826,9.649,1,5,,,,,,,,,,,,,,,,,9.212,53.339,54.943,8,1,,1,3,4,3,1,1,2,1,6,6,6.296,28.087,46.107,7,3,2,3,1,2,,,,,,,,,,,4.539,15.744,17.96,3,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,7.168,95.994,107.911,13,1,35,7,1,2,הרצליה,2,1,סקר שאלות כלליות בנושא מגזר ציבורי במשק,7.563,22.288,23.493,3,1,2,3,Figures (PLACEBO),Q7|Q8|Q10|Q11|Q9|Q57|Q59,Q28|Q29|Q33|Q37|Q36|Q34|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_rlGMNUB3J6Tvh2p,Default Response Set,Anonymous,,,192.114.23.211,0,14/12/2015 14:19,14/12/2015 14:25,1,5330661,1,8.806,24.813,26.092,5,1,3,3,5,7.056,31.704,33.422,5,1,4,4,3,3,1,1,9.533,9.533,14.823,1,1,10.272,10.272,12.08,1,3,6.982,6.982,8.442,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.407,33.657,35.306,10,1,,1,1,3,3,1,3,4,1,4,5,4.043,27.894,78.864,5,3,5,3,1,1,,,,,,,,,,,4.89,19.194,22.018,3,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,4.571,37.278,60.38,13,1,22,6,4,2,רמת השרון,2,1,"מידת שביעות רצון משירותים ציבוריים ממשלתיים כמו חשמל, גז ותחבורה ציבורית",10.38,33.892,38.587,5,1,5,3,Figures (CONTROL),Q7|Q8|Q9|Q11|Q10|Q57|Q59,Q28|Q29|Q33|Q36|Q37|Q34|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2712mEPYOlCeG49,Default Response Set,Anonymous,,,212.179.143.17,0,14/12/2015 14:19,14/12/2015 14:25,1,5330470,1,11.373,23.94,25.533,3,1,5,6,4,6.707,34.913,37.506,5,1,4,3,3,2,1,,,,,,,,,,,,,,,,,1,8.82,8.82,11.185,1,2,9.838,11.374,13.636,2,3,7.703,7.703,9.908,1,5,,,,,,,,,,,,,,,,,8.84,51.058,53.649,8,1,,5,8,9,8,1,7,7,1,4,,10.288,47.656,48.841,6,2,3,2,1,1,,,1,,,,,,,,4.034,43.395,44.624,6,1,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,7.104,41.731,66.867,8,1,51,3,2,1,כפר סבא,1,1,שביעות רצון מהתשתיות במדינה,11.683,23.822,25.921,2,1,6,3,Figures (PLACEBO),Q7|Q8|Q11|Q10|Q9|Q57|Q59,Q28|Q29|Q33|Q36|Q35|Q37|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.01139832,34.77220154,-1
R_3egC8hqpqE14Ihl,Default Response Set,Anonymous,,,212.179.223.73,0,14/12/2015 14:20,14/12/2015 14:25,1,5331260,1,5.158,30.758,31.564,4,1,4,4,3,7.705,33.817,35.135,6,1,2,2,3,3,5,1,8.123,8.123,9.55,1,1,3.418,3.418,4.898,1,3,8.354,8.354,9.915,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.474,7.474,9.873,1,1,,4,8,3,5,1,5,4,1,7,6,5.752,35.987,36.968,8,1,6,3,1,1,,,,,1,,,,,,4.163,29.246,31,6,1,,,,,,,,,1,1,,,,,,,,,1,2,,,1,,,,,6.521,32.47,40.897,8,1,46,5,1,2,הרצליה,2,1,תשתיות,9.215,22.156,23.247,2,1,9,4,Figures (CONTROL),Q7|Q8|Q11|Q10|Q9|Q57|Q59,Q28|Q29|Q33|Q36|Q37|Q35|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.13169861,34.99090576,-1
R_3QFuhuD5SV6GnlU,Default Response Set,Anonymous,,,82.80.117.218,0,14/12/2015 14:20,14/12/2015 14:26,1,5331002,1,11.647,23.679,24.611,3,1,5,5,6,8.784,49.38,50.993,8,1,4,4,5,6,5,,,,,,,,,,,,,,,,,1,8.515,8.515,10.066,1,5,8.949,8.949,9.836,1,5,7.353,7.353,8.359,1,4,,,,,,,,,,,,,,,,,8.587,48.235,50.742,9,1,,7,7,6,8,1,8,8,1,8,8,6.019,45.027,46.402,6,3,3,3,1,1,1,,,,,,,,,,9.656,34.503,35.864,6,1,,,,,,,,,1,2,,,,1,,,,,,1,,,,,,,1,5.389,44.932,55.197,8,1,41,4,3,1,כפר סבא,2,1,שביעות רצון מהחברות שציינתם.,8.646,19.995,21.262,4,1,9,7,Figures (PLACEBO),Q7|Q8|Q10|Q9|Q11|Q57|Q59,Q28|Q29|Q33|Q35|Q37|Q36|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2rPkCGPg1Z4mSQa,Default Response Set,Anonymous,,,79.181.137.232,0,14/12/2015 14:24,14/12/2015 14:27,1,5330125,1,2.271,6.83,7.162,5,1,6,5,6,1.611,13.964,14.463,7,1,6,6,6,5,2,,,,,,,,,,,,,,,,,1,3.533,4.252,5.188,2,4,1.936,3.229,4.342,2,3,0.914,0.914,2.474,1,3,,,,,,,,,,,,,,,,,1.047,16.276,17.433,10,1,,5,5,7,7,1,5,5,1,7,6,1.94,21.189,21.855,8,2,3,2,2,2,,,,1,,,,,,,1.556,13.253,15.4,6,1,,,,,1,,,,,2,,1,,,,,,,,2,,1,,,,,,0.752,0.752,3.897,1,1,36,8,2,2,כפר סבא,1,1,שאלון בנושא גז ודלק,1.135,2.67,4.027,3,1,7,6,Figures (PLACEBO),Q7|Q8|Q10|Q11|Q9|Q57|Q59,Q28|Q29|Q33|Q37|Q34|Q36|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_1imUqz1EF54XANQ,Default Response Set,Anonymous,,,84.109.240.159,0,14/12/2015 14:22,14/12/2015 14:28,1,5331422,1,7.366,17.878,18.87,3,1,5,2,3,5.111,30.725,32.006,8,1,2,1,1,5,5,1,19.892,19.892,21.193,1,5,3.914,3.914,5.054,1,5,2.723,2.723,4.303,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.937,34.649,35.887,11,1,,7,7,7,6,1,6,6,1,8,8,4.354,36.073,37.041,6,3,2,1,3,1,,,,1,,,,,,,4.191,30.686,32.997,7,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,2.399,2.399,8.57,1,1,57,8,1,1,הרצליה,2,1,לא ראיתי את השאלה שאחריה היו הרבה תשובות על גופים שונים. וכיוון שאי אפשר היה לחזור אחורה כתבתי - לא רלונטי,4.987,49.786,50.777,3,1,8,1,Figures (CONTROL),Q7|Q8|Q10|Q9|Q11|Q57|Q59,Q28|Q29|Q33|Q37|Q34|Q35|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.14720154,34.84170532,-1
R_2XjjyATjihocxPe,Default Response Set,Anonymous,,,185.120.125.53,0,14/12/2015 14:22,14/12/2015 14:28,1,5330165,1,6.3,12.738,14.036,5,1,1,1,2,5.312,33.255,35.192,9,1,2,1,1,3,5,,,,,,,,,,,,,,,,,1,4.676,7.596,9.673,2,5,5.713,5.713,7.468,1,5,3.351,9.29,10.975,2,4,,,,,,,,,,,,,,,,,4.925,11.661,12.995,4,1,,4,4,3,3,1,5,5,1,6,6,5.402,40.248,41.959,10,2,1,3,2,1,,,,,,,1,,,,4.007,27.205,29.699,12,2,,,,,,,,,1,1,,,,,,,,,1,2,,,,,1,,,4.11,29.367,48.797,11,1,31,7,5,1,הרצליה,1,1,יחס לחברות הנותנות שירות תשתיות,1.832,23.468,24.857,8,1,9,2,Figures (PLACEBO),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q36|Q34|Q35|Q37|Q30|Q31|Q32|Q38|Q39|Q40,31.5,34.75,-1
R_3rM2xgXqYvD5KaT,Default Response Set,Anonymous,,,62.219.163.254,0,14/12/2015 14:25,14/12/2015 14:28,1,5330595,1,4.857,14.304,15.08,4,1,3,4,5,4.311,15.677,16.544,5,1,4,4,4,3,5,,,,,,,,,,,,,,,,,1,5.131,5.131,5.822,1,4,4.518,4.518,5.346,1,5,3.32,3.32,4.241,1,4,,,,,,,,,,,,,,,,,2.728,20.215,21.151,10,1,,7,6,7,7,1,8,7,1,8,8,2.004,14.892,27.03,6,2,2,1,1,1,,,,,,,,,,,6.032,12.616,13.587,3,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,2.334,23.357,27.088,13,1,22,4,3,2,הוד השרון,2,1,תשתיות,4.065,7.577,8.283,2,1,9,6,Figures (PLACEBO),Q7|Q8|Q10|Q9|Q11|Q57|Q59,Q28|Q29|Q33|Q37|Q34|Q35|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_4VMbHnEa0UFG0xj,Default Response Set,Anonymous,,,31.154.6.1,0,14/12/2015 14:25,14/12/2015 14:28,1,5330128,1,4.465,15.496,16.366,4,1,3,5,6,2.284,16.748,17.602,5,1,1,1,1,3,5,1,5.204,5.204,7.732,1,1,3.065,5.344,7.757,3,3,2.446,2.446,4.317,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.291,20.324,21.078,8,1,,8,9,8,7,1,6,6,1,9,10,5.977,26.319,27.087,6,1,6,3,1,1,,,,,1,,,,,,3.414,15.726,16.511,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,3.081,37.623,40.92,10,1,32,7,4,1,הרצליה,1,1,שביעות רצון מתשתיות בבעלות המדינה. ,6.252,9.758,10.331,2,1,2,1,Figures (CONTROL),Q7|Q8|Q9|Q11|Q10|Q57|Q59,Q28|Q29|Q33|Q34|Q35|Q37|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2dhG1QgX91cPDI1,Default Response Set,Anonymous,,,194.114.146.227,0,14/12/2015 14:24,14/12/2015 14:28,1,5331135,1,5.177,9.209,10.635,3,1,3,4,5,4.107,17.12,17.938,5,1,4,4,5,3,2,1,2.471,2.471,3.289,1,2,4.085,4.085,5.376,1,3,3.632,3.632,4.273,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,3.23,6.318,1,1,,6,7,6,7,1,5,5,1,7,7,3.134,18.783,33.594,5,2,1,1,1,1,,,,,,,,,,,2.636,15.643,17.858,3,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,6.015,31.533,86.103,10,1,39,7,5,1,הוד השרון,2,1,"את רמת שביעות הרצון של האזרחים מחברות המספקות שירותי תשתיות כגון חשמל, מים, גז וגם את רמת ההכרות איתן בשאלה שהציגה את הלוגו של החברות השונות.",7.594,11.669,12.455,2,1,9,4,Figures (CONTROL),Q7|Q8|Q11|Q10|Q9|Q57|Q59,Q28|Q29|Q33|Q35|Q36|Q34|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2v5FxnIRL3gSgiw,Default Response Set,Anonymous,,,195.93.234.9,0,14/12/2015 14:24,14/12/2015 14:29,1,5330954,1,30.895,40.183,40.992,5,1,4,5,5,5.396,27.707,28.839,7,1,5,4,4,2,5,,,,,,,,,,,,,,,,,1,3.476,3.476,4.594,1,2,3.626,3.626,4.674,1,3,14.002,14.002,15.042,1,5,,,,,,,,,,,,,,,,,13.097,21.898,24.073,4,1,,1,2,4,2,1,6,6,1,6,6,4.128,38.959,39.745,6,3,5,3,1,1,,,1,,,,,,,,6.831,25.808,26.792,6,2,1,,,,,,,,,1,,,,,,,,,1,1,,,,,,,1,3.358,24.114,25.597,7,1,30,5,2,2,רעננה,2,1,,8.478,13.34,14.049,2,1,9,6,Figures (PLACEBO),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q36|Q35|Q34|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
